"filename", "language", "JSON with Comments", "TypeScript", "JSON", "CHV3", "comment", "blank", "total"
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\.creator\default-meta.json", "JSON", 0, 0, 5, 0, 0, 1, 6
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\TalkSystem\AudioManager.ts", "TypeScript", 0, 154, 0, 0, 34, 8, 196
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\TalkSystem\EventDispatcher.ts", "TypeScript", 0, 14, 0, 0, 0, 5, 19
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\TalkSystem\GameApp.ts", "TypeScript", 0, 21, 0, 0, 0, 9, 30
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\TalkSystem\SocketClient.ts", "TypeScript", 0, 64, 0, 0, 5, 11, 80
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\TalkSystem\TalkView.ts", "TypeScript", 0, 71, 0, 0, 11, 10, 92
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\TalkSystem\autoAdd.ts", "TypeScript", 0, 95, 0, 0, 27, 21, 143
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Client\Login_RegisterView.ts", "TypeScript", 0, 44, 0, 0, 16, 12, 72
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Client\ReqServer.ts", "TypeScript", 0, 113, 0, 0, 40, 20, 173
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Client\ResponseServie.ts", "TypeScript", 0, 36, 0, 0, 23, 4, 63
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Client\explan.txt", "CHV3", 0, 0, 0, 3, 0, 1, 4
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Common\InputEditValidator.ts", "TypeScript", 0, 7, 0, 0, 6, 5, 18
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Common\ResultData.ts", "TypeScript", 0, 6, 0, 0, 12, 4, 22
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Common\commonConst.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 4
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\DialogItem.ts", "TypeScript", 0, 37, 0, 0, 10, 11, 58
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Itf.ts", "TypeScript", 0, 11, 0, 0, 3, 1, 15
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Mgr\DataMgr.ts", "TypeScript", 0, 12, 0, 0, 0, 4, 16
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\Mgr\SceneMgr.ts", "TypeScript", 0, 16, 0, 0, 5, 9, 30
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\UserDataView.ts", "TypeScript", 0, 35, 0, 0, 15, 6, 56
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\assets\script\gameApp.ts", "TypeScript", 0, 9, 0, 0, 5, 6, 20
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\package.json", "JSON", 0, 0, 7, 0, 0, 1, 8
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\settings\v2\packages\builder.json", "JSON", 0, 0, 3, 0, 0, 1, 4
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\settings\v2\packages\device.json", "JSON", 0, 0, 3, 0, 0, 1, 4
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\settings\v2\packages\engine.json", "JSON", 0, 0, 143, 0, 0, 1, 144
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\settings\v2\packages\program.json", "JSON", 0, 0, 3, 0, 0, 1, 4
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\settings\v2\packages\project.json", "JSON", 0, 0, 9, 0, 0, 1, 10
"c:\Users\xhy\Documents\COCOS\Cocos2d\0210367XHY\CocosChat\tsconfig.json", "JSON with Comments", 6, 0, 0, 0, 2, 2, 10
"Total", "-", 6, 749, 173, 3, 214, 156, 1301